location_id,name,address
1,拠点1,北海道釧路市9丁目10-6
2,拠点2,北海道札幌市東区9丁目5-8
3,拠点3,北海道函館市4丁目10-14
4,拠点4,北海道小樽市6丁目20-9
5,拠点5,北海道苫小牧市3丁目14-19
6,拠点6,北海道札幌市中央区6丁目5-12
7,拠点7,北海道札幌市豊平区9丁目13-9
8,拠点8,北海道札幌市豊平区6丁目10-11
9,拠点9,北海道小樽市2丁目30-1
10,拠点10,北海道札幌市豊平区8丁目18-18
11,拠点11,北海道札幌市南区7丁目4-8
12,拠点12,北海道札幌市南区10丁目7-2
13,拠点13,北海道旭川市7丁目11-17
14,拠点14,北海道札幌市豊平区7丁目26-2
15,拠点15,北海道札幌市白石区8丁目24-19
16,拠点16,北海道北見市1丁目12-14
17,拠点17,北海道札幌市西区7丁目12-18
18,拠点18,北海道札幌市西区3丁目14-15
19,拠点19,北海道北見市5丁目8-5
20,拠点20,北海道札幌市白石区10丁目2-16
21,拠点21,北海道札幌市豊平区8丁目4-10
22,拠点22,北海道札幌市北区6丁目22-5
23,拠点23,北海道札幌市西区7丁目5-9
24,拠点24,北海道札幌市東区5丁目7-6
25,拠点25,北海道札幌市白石区8丁目28-8
26,拠点26,北海道函館市4丁目2-12
27,拠点27,北海道札幌市中央区10丁目29-20
28,拠点28,北海道江別市9丁目4-15
29,拠点29,北海道釧路市7丁目8-10
30,拠点30,北海道札幌市白石区4丁目15-4
31,拠点31,北海道札幌市東区7丁目15-19
32,拠点32,北海道苫小牧市6丁目25-2
33,拠点33,北海道札幌市東区6丁目11-13
34,拠点34,北海道江別市2丁目30-16
35,拠点35,北海道北見市3丁目24-2
36,拠点36,北海道苫小牧市8丁目22-10
37,拠点37,北海道札幌市豊平区5丁目12-17
38,拠点38,北海道小樽市5丁目8-6
39,拠点39,北海道札幌市東区9丁目6-13
40,拠点40,北海道札幌市北区6丁目4-4
41,拠点41,北海道函館市9丁目13-18
42,拠点42,北海道札幌市東区10丁目7-16
43,拠点43,北海道旭川市4丁目19-18
44,拠点44,北海道函館市10丁目28-11
45,拠点45,北海道釧路市6丁目2-14
46,拠点46,北海道札幌市豊平区8丁目28-18
47,拠点47,北海道函館市8丁目8-13
48,拠点48,北海道札幌市豊平区4丁目15-18
49,拠点49,北海道江別市6丁目29-8
50,拠点50,北海道札幌市南区5丁目20-14
51,拠点51,北海道札幌市西区2丁目25-14
52,拠点52,北海道旭川市1丁目8-12
53,拠点53,北海道釧路市10丁目14-4
54,拠点54,北海道北見市2丁目2-19
55,拠点55,北海道苫小牧市2丁目18-13
56,拠点56,北海道苫小牧市5丁目20-2
57,拠点57,北海道札幌市西区5丁目13-7
58,拠点58,北海道札幌市豊平区10丁目22-3
59,拠点59,北海道帯広市5丁目25-8
60,拠点60,北海道旭川市6丁目12-2
61,拠点61,北海道札幌市西区8丁目26-2
62,拠点62,北海道北見市10丁目3-20
63,拠点63,北海道江別市2丁目2-6
64,拠点64,北海道苫小牧市4丁目27-10
65,拠点65,北海道札幌市南区7丁目17-20
66,拠点66,北海道函館市5丁目25-2
67,拠点67,北海道苫小牧市9丁目2-11
68,拠点68,北海道小樽市1丁目20-2
69,拠点69,北海道札幌市豊平区5丁目5-7
70,拠点70,北海道札幌市豊平区6丁目11-9
71,拠点71,北海道釧路市4丁目12-3
72,拠点72,北海道帯広市10丁目24-11
73,拠点73,北海道札幌市南区5丁目29-17
74,拠点74,北海道札幌市豊平区9丁目18-19
75,拠点75,北海道旭川市7丁目22-8
76,拠点76,北海道釧路市9丁目23-2
77,拠点77,北海道札幌市北区2丁目18-5
78,拠点78,北海道札幌市豊平区6丁目5-1
79,拠点79,北海道帯広市3丁目1-2
80,拠点80,北海道苫小牧市4丁目21-13
81,拠点81,北海道札幌市豊平区4丁目6-2
82,拠点82,北海道札幌市中央区7丁目28-13
83,拠点83,北海道札幌市東区2丁目29-15
84,拠点84,北海道札幌市北区8丁目16-19
85,拠点85,北海道函館市2丁目13-20
86,拠点86,北海道江別市8丁目29-15
87,拠点87,北海道江別市6丁目11-12
88,拠点88,北海道札幌市中央区6丁目11-9
89,拠点89,北海道札幌市東区8丁目26-12
90,拠点90,北海道札幌市豊平区8丁目28-19
91,拠点91,北海道札幌市中央区8丁目17-11
92,拠点92,北海道札幌市北区5丁目14-17
93,拠点93,北海道札幌市西区3丁目28-6
94,拠点94,北海道江別市5丁目11-11
95,拠点95,北海道札幌市豊平区8丁目23-9
96,拠点96,北海道北見市8丁目13-15
97,拠点97,北海道札幌市西区10丁目29-14
98,拠点98,北海道函館市9丁目6-20
99,拠点99,北海道江別市4丁目8-7
100,拠点100,北海道函館市5丁目2-18
101,拠点101,北海道江別市6丁目25-19
102,拠点102,北海道札幌市南区6丁目10-7
103,拠点103,北海道札幌市東区3丁目9-16
104,拠点104,北海道小樽市9丁目22-5
105,拠点105,北海道小樽市1丁目8-9
106,拠点106,北海道旭川市3丁目13-7
107,拠点107,北海道小樽市4丁目30-7
108,拠点108,北海道札幌市中央区8丁目23-9
109,拠点109,北海道札幌市東区7丁目25-16
110,拠点110,北海道札幌市豊平区6丁目7-15
111,拠点111,北海道札幌市西区2丁目13-14
112,拠点112,北海道帯広市1丁目27-19
113,拠点113,北海道苫小牧市10丁目13-7
114,拠点114,北海道札幌市豊平区9丁目26-10
115,拠点115,北海道札幌市北区9丁目18-3
116,拠点116,北海道苫小牧市3丁目11-3
117,拠点117,北海道札幌市豊平区7丁目26-18
118,拠点118,北海道札幌市中央区1丁目2-10
119,拠点119,北海道江別市10丁目15-20
120,拠点120,北海道札幌市南区1丁目3-1
121,拠点121,北海道札幌市北区7丁目9-17
122,拠点122,北海道札幌市北区6丁目25-12
123,拠点123,北海道苫小牧市9丁目29-3
124,拠点124,北海道札幌市中央区5丁目2-9
125,拠点125,北海道函館市9丁目25-19
126,拠点126,北海道釧路市4丁目22-11
127,拠点127,北海道札幌市中央区4丁目7-5
128,拠点128,北海道旭川市8丁目13-2
129,拠点129,北海道釧路市9丁目20-15
130,拠点130,北海道札幌市東区6丁目7-15
131,拠点131,北海道札幌市中央区6丁目12-11
132,拠点132,北海道札幌市南区3丁目15-12
133,拠点133,北海道函館市3丁目17-1
134,拠点134,北海道釧路市10丁目7-13
135,拠点135,北海道函館市8丁目4-8
136,拠点136,北海道札幌市西区1丁目29-1
137,拠点137,北海道江別市6丁目18-11
138,拠点138,北海道札幌市豊平区5丁目9-13
139,拠点139,北海道苫小牧市3丁目21-17
140,拠点140,北海道札幌市中央区10丁目17-12
141,拠点141,北海道札幌市白石区3丁目14-6
142,拠点142,北海道札幌市北区7丁目23-10
143,拠点143,北海道函館市3丁目27-1
144,拠点144,北海道函館市7丁目7-17
145,拠点145,北海道札幌市西区10丁目28-12
146,拠点146,北海道小樽市8丁目30-16
147,拠点147,北海道江別市3丁目19-16
148,拠点148,北海道札幌市西区4丁目14-8
149,拠点149,北海道北見市8丁目26-19
150,拠点150,北海道函館市10丁目3-20
151,拠点151,北海道釧路市10丁目22-9
152,拠点152,北海道苫小牧市3丁目11-1
153,拠点153,北海道札幌市西区1丁目7-18
154,拠点154,北海道苫小牧市8丁目24-3
155,拠点155,北海道札幌市北区5丁目28-18
156,拠点156,北海道江別市9丁目6-9
157,拠点157,北海道帯広市9丁目16-8
158,拠点158,北海道北見市2丁目9-13
159,拠点159,北海道札幌市北区3丁目6-17
160,拠点160,北海道旭川市9丁目30-12
161,拠点161,北海道江別市1丁目21-12
162,拠点162,北海道札幌市東区7丁目28-19
163,拠点163,北海道苫小牧市9丁目13-14
164,拠点164,北海道旭川市2丁目15-14
